id,name,prefecture,city,region,type,destType,hub,hotelArea,hubStation,accessStation,weight,stayAllowed,tags
"suwa","諏訪","長野県","諏訪市","中部","destination","onsen","matsumoto-n","suwa","塩尻駅","上諏訪駅","1.2","1night","温泉|寺社|自然"
"eiheiji","永平寺","福井県","永平寺町","中部","destination","sight","fukui","eiheiji","福井駅","永平寺口駅","1.2","daytrip|1night","寺社|山"
"wakasa-obama","若狭小浜","福井県","小浜市","中部","destination","city","fukui","wakasa-obama","敦賀駅","小浜駅","1.2","1night","海|歴史|街歩き|寺社"
"okuhida-onsen","奥飛騨温泉郷","岐阜県","高山市","中部","destination","onsen","matsumoto-n","okuhida-onsen","高山駅","平湯温泉バスターミナル","1.2","1night|2night","温泉|自然|山"
"minami-izu","南伊豆","静岡県","南伊豆町","中部","destination","sight","shizuoka","minami-izu","下田駅","下田駅","1.2","1night|2night","海|温泉|自然|離島"
"echizen","越前市","福井県","越前市","中部","destination","city","fukui","echizen","福井駅","武生駅","1.2","1night","歴史|街歩き|自然"
"ito","伊東","静岡県","伊東市","中部","destination","onsen","shizuoka","ito","熱海駅","伊東駅","1.2","1night","温泉|海|街歩き|山|城|離島"
"iga","伊賀","三重県","三重伊賀","近畿","destination","city","osaka-t","iga","上野市駅","上野市駅","1.2","daytrip|1night","歴史|城"
"kashihara","橿原","奈良県","橿原市","近畿","destination","city","osaka-t","kashihara","大阪駅","橿原神宮前駅","1.2","daytrip|1night","歴史|寺社"
"totsukawa","十津川","奈良県","十津川村","近畿","destination","onsen","osaka-t","totsukawa","五条駅","五条駅","1.2","1night|2night","温泉|渓谷|自然|秘境|寺社"
"maizuru","舞鶴","京都府","舞鶴市","近畿","destination","city","kyoto-t","maizuru","東舞鶴駅","東舞鶴駅","1.2","1night","歴史|海"
"asuka","飛鳥","奈良県","明日香村","近畿","destination","sight","osaka-t","asuka","橿原神宮前駅","飛鳥駅","1.2","daytrip|1night","歴史|寺社"
"daisen","大山","鳥取県","大山町","中国","destination","sight","matsue","daisen","米子駅","米子駅","1.2","1night|2night","山|自然|温泉|寺社"
"yunotsu-onsen","温泉津","島根県","大田市","中国","destination","onsen","matsue","yunotsu-onsen","大田市駅","温泉津駅","1.2","1night","温泉|歴史|海|山"
"iwami-ginzan","石見銀山","島根県","大田市","中国","destination","sight","matsue","iwami-ginzan","大田市駅","大田市駅","1.2","daytrip|1night","歴史|山|自然|寺社"
"iwakuni","岩国","山口県","岩国市","中国","destination","city","hiroshima-t","iwakuni","広島駅","岩国駅","1.2","daytrip|1night","歴史|山|城"
"kurayoshi","倉吉","鳥取県","倉吉市","中国","destination","city","matsue","kurayoshi","倉吉駅","倉吉駅","1.2","daytrip|1night","歴史|温泉|城"
"suo-oshima","周防大島","山口県","周防大島町","中国","destination","island","hiroshima-t","suo-oshima","広島駅","大畠駅","1.2","1night|2night","離島|海|自然"
"shimanto","四万十","高知県","四万十市","四国","destination","sight","kochi","shimanto","高知駅","江川崎駅","1.2","1night|2night","自然"
"kashiwajima","柏島","高知県","大月町","四国","destination","island","kochi","kashiwajima","宿毛駅","宿毛駅","1.5","1night|2night","離島|海|秘境"
"saijo","西条","愛媛県","西条市","四国","destination","city","matsuyama","saijo","松山駅","伊予西条駅","1.2","daytrip|1night","街歩き|自然|山"
"ainan","愛南","愛媛県","愛媛愛南","四国","destination","sight","kochi","ainan","宇和島駅","宇和島駅","1.2","1night|2night","海|自然|温泉"
"taketa","竹田","大分県","竹田市","九州","destination","onsen","kumamoto","taketa","豊後竹田駅","豊後竹田駅","1.2","1night","温泉|歴史|城"
"usuki","臼杵","大分県","臼杵市","九州","destination","city","kumamoto","usuki","大分駅","臼杵駅","1.2","daytrip|1night","歴史|城"
"hita","日田","大分県","日田市","九州","destination","onsen","fukuoka-t","hita","久留米駅","日田駅","1.2","1night","温泉|歴史"
"hasami","波佐見","長崎県","波佐見町","九州","destination","city","nagasaki","hasami","川棚温泉駅","川棚温泉駅","1.2","daytrip|1night","歴史|山"
"takeo-onsen","武雄温泉","佐賀県","武雄市","九州","destination","onsen","saga","takeo-onsen","武雄温泉駅","武雄温泉駅","1.2","1night","温泉|歴史|山"
"kitsuki","杵築","大分県","杵築市","九州","destination","city","kumamoto","kitsuki","杵築駅","杵築駅","1.2","daytrip|1night","歴史|城"
"tsushima","対馬","長崎県","対馬市","九州","destination","island","fukuoka-t","tsushima","福岡空港","対馬空港","1.5","1night|2night","離島|自然|歴史|海|城"
"iki-island","壱岐","長崎県","長崎壱岐","九州","destination","island","fukuoka-t","iki-island","壱岐駅","壱岐駅","1.5","1night|2night","離島|海|歴史"
"tanegashima","種子島","鹿児島県","西之表市","九州","destination","island","kagoshima","tanegashima","鹿児島空港","西之表港","1.5","1night|2night","離島|歴史|海"
"kikuchi","菊池","熊本県","菊池市","九州","destination","onsen","kumamoto","kikuchi","熊本駅","熊本駅","1.2","1night","温泉|渓谷|自然|歴史|寺社"
"taketomi-island","竹富島","沖縄県","沖縄竹富島","沖縄","destination","island","naha","taketomi-island","竹富島駅","竹富島駅","1.5","1night|2night","離島|海"
"yonaguni-island","与那国島","沖縄県","与那国町","沖縄","destination","island","naha","yonaguni-island","那覇空港","与那国空港","1.5","1night|2night","離島|海|歴史"
"nakijin","今帰仁","沖縄県","今帰仁村","沖縄","destination","sight","naha","nakijin","那覇空港","那覇バスターミナル","1.2","daytrip|1night","城|歴史|自然|離島"
"motobu","本部","沖縄県","本部町","沖縄","destination","sight","naha","motobu","那覇空港","那覇バスターミナル","1.2","1night|2night","海|自然|離島"
"zamami-island","座間味島","沖縄県","沖縄座間味島","沖縄","destination","island","naha","zamami-island","座間味島駅","座間味島駅","1.5","1night|2night","離島|海"
"ie-island","伊江島","沖縄県","沖縄伊江島","沖縄","destination","island","naha","ie-island","伊江島駅","伊江島駅","1.5","1night","離島|海|自然|山|城"
"kohama-island","小浜島","沖縄県","沖縄小浜島","沖縄","destination","island","naha","kohama-island","小浜島駅","小浜島駅","1.5","1night|2night","離島|海|自然"
"matsushiro","松代","長野県","長野市","中部","destination","city","matsumoto-n","matsushiro","長野駅","長野駅","1.2","daytrip|1night","歴史|温泉|城"
"iiyama","飯山","長野県","飯山市","中部","destination","onsen","matsumoto-n","iiyama","飯山駅","飯山駅","1.2","1night","温泉|山|自然|寺社"
"yakake","矢掛","岡山県","岡山矢掛","中国","destination","city","okayama-o","yakake","矢掛駅","矢掛駅","1.2","daytrip|1night","歴史|山"
"tsuyama","津山","岡山県","津山市","中国","destination","city","okayama-o","tsuyama","岡山駅","津山駅","1.2","daytrip|1night","歴史|城|山"
"tsurugi-san","剣山","徳島県","徳島剣山","四国","destination","sight","tokushima","tsurugi-san","貞光駅","貞光駅","1.2","1night|2night","山|自然|海|寺社"
"nobeoka","延岡","宮崎県","延岡市","九州","destination","city","miyazaki","nobeoka","宮崎駅","延岡駅","1.2","1night","歴史|街歩き|城|自然|海|山|渓谷"
"kamaishi","釜石","岩手県","釜石市","東北","destination","city","morioka","kamaishi","新花巻駅","釜石駅","1.2","1night","海|歴史|自然"
"ofunato","大船渡","岩手県","大船渡市","東北","destination","city","ichinoseki","ofunato","一ノ関駅","大船渡駅","1.2","1night","海|自然|歴史"
"kuji","久慈","岩手県","久慈市","東北","destination","city","hachinohe","kuji","八戸駅","久慈駅","1.2","1night","海|歴史|自然"
"wakkanai","稚内","北海道","稚内市","北海道","destination","sight","sapporo-t","wakkanai","稚内駅","稚内空港","1.2","1night|2night","自然|秘境|海"
"obihiro","帯広","北海道","帯広市","北海道","destination","city","kushiro","obihiro","帯広駅","帯広空港","1.2","1night|2night","自然|グルメ|街歩き"
"rausu","羅臼","北海道","羅臼町","北海道","destination","sight","kushiro","rausu","知床斜里駅","羅臼バスターミナル","1.2","1night|2night","自然|秘境|海|山"
"esashi-hokkaido","江差","北海道","江差町","北海道","destination","city","hakodate","esashi","木古内駅","江差バスターミナル","1.2","1night","歴史|街歩き|海"
"hanamaki","花巻","岩手県","花巻市","東北","destination","onsen","morioka","hanamaki","新花巻駅","新花巻駅","1.2","daytrip|1night","温泉|自然|歴史"
"hachimantai","八幡平","岩手県","八幡平市","東北","destination","onsen","morioka","hachimantai","盛岡駅","八幡平頂上バス停","1.2","1night|2night","温泉|山|自然|秘境"
"tazawako","田沢湖","秋田県","仙北市","東北","destination","onsen","morioka","tazawako","田沢湖駅","田沢湖駅","1.2","1night","温泉|自然|山|秘境"
"yamadera","山寺","山形県","山形市","東北","destination","sight","yamagata","yamadera","山形駅","山寺駅","1.2","daytrip|1night","寺社|山|歴史|自然"
"kesennuma","気仙沼","宮城県","気仙沼市","東北","destination","city","sendai-t","kesennuma","気仙沼駅","気仙沼駅","1.2","1night","海|グルメ|自然"
"ikaho","伊香保温泉","群馬県","渋川市","関東","destination","onsen","tokyo-o","ikaho","渋川駅","伊香保温泉バス停","1.2","1night","温泉|街歩き|山"
"enoshima","江の島","神奈川県","藤沢市","関東","destination","sight","tokyo-o","enoshima","藤沢駅","片瀬江ノ島駅","1.2","daytrip|1night","海|寺社|街歩き"
"chichibu","秩父","埼玉県","秩父市","関東","destination","sight","tokyo-o","chichibu","池袋駅","秩父駅","1.2","daytrip|1night","寺社|自然|渓谷|山"
"oarai","大洗","茨城県","東茨城郡大洗町","関東","destination","sight","mito","oarai","水戸駅","大洗駅","1.2","daytrip|1night","海|寺社|自然"
"sano","佐野","栃木県","佐野市","関東","destination","city","tokyo-o","sano","小山駅","佐野駅","1.2","daytrip","グルメ|歴史|街歩き"
"gujo-hachiman","郡上八幡","岐阜県","郡上市","中部","destination","city","nagoya-t","gujo-hachiman","美濃市駅","郡上八幡駅","1.2","daytrip|1night","渓谷|歴史|街歩き|自然"
"narai-juku","奈良井宿","長野県","塩尻市","中部","destination","city","matsumoto-n","narai-juku","塩尻駅","奈良井駅","1.2","daytrip|1night","歴史|街歩き|山"
"itoigawa","糸魚川","新潟県","糸魚川市","中部","destination","city","niigata","itoigawa","糸魚川駅","糸魚川駅","1.2","daytrip|1night","自然|海|歴史|街歩き"
"kofu","甲府","山梨県","甲府市","中部","destination","city","kofu","kofu","甲府駅","甲府駅","1.2","daytrip|1night","歴史|山|グルメ|城"
"murakami","村上","新潟県","村上市","中部","destination","city","niigata","murakami","新潟駅","村上駅","1.2","daytrip|1night","歴史|グルメ|街歩き|城"
"shima","志摩","三重県","志摩市","中部","destination","sight","nagoya-t","shima","賢島駅","賢島駅","1.2","1night|2night","海|自然|グルメ"
"ogaki","大垣","岐阜県","大垣市","中部","destination","city","nagoya-t","ogaki","大垣駅","大垣駅","1.2","daytrip","歴史|城|街歩き"
"echizen-kaigan","越前海岸","福井県","越前市","中部","destination","sight","fukui","echizen-kaigan","武生駅","越前海岸","1.2","daytrip|1night","海|グルメ|自然"
"myoko-kogen","妙高高原","新潟県","妙高市","中部","destination","onsen","niigata","myoko-kogen","妙高高原駅","妙高高原駅","1.2","1night|2night","温泉|山|自然|滝"
"nagaoka","長岡","新潟県","長岡市","中部","destination","city","niigata","nagaoka","長岡駅","長岡駅","1.2","daytrip|1night","自然|歴史|街歩き"
"shimanto-cho","四万十町","高知県","四万十町","四国","destination","sight","kochi","shimanto","土佐大正駅","土佐大正駅","1.2","1night|2night","自然|渓谷|山"
"tanba-sasayama","丹波篠山","兵庫県","丹波篠山市","近畿","destination","city","osaka-t","tanba-sasayama","篠山口駅","篠山口駅","1.2","daytrip|1night","歴史|グルメ|街歩き|城"
"nachikatsuura","那智勝浦","和歌山県","東牟婁郡那智勝浦町","近畿","destination","sight","osaka-t","nachikatsuura","紀伊勝浦駅","紀伊勝浦駅","1.2","1night|2night","寺社|滝|自然|グルメ"
"kumano-hongu","熊野本宮","和歌山県","田辺市","近畿","destination","onsen","osaka-t","kumano-hongu","新宮駅","本宮大社前バス停","1.2","1night|2night","寺社|温泉|自然|秘境"
"ako","赤穂","兵庫県","赤穂市","近畿","destination","city","himeji","ako","相生駅","赤穂駅","1.2","daytrip|1night","歴史|城|海|街歩き"
"fushimi","伏見","京都府","京都市","近畿","destination","city","kyoto-t","fushimi","京都駅","伏見稲荷駅","1.2","daytrip","寺社|グルメ|街歩き"
"tomonoura","鞆の浦","広島県","福山市","中国","destination","city","hiroshima-t","tomonoura","福山駅","鞆の浦バス停","1.2","daytrip|1night","歴史|海|街歩き"
"sakaiminato","境港","鳥取県","境港市","中国","destination","city","matsue","sakaiminato","米子駅","境港駅","1.2","daytrip|1night","街歩き|グルメ|海"
"ushimado","牛窓","岡山県","瀬戸内市","中国","destination","city","okayama-o","ushimado","邑久駅","牛窓バス停","1.2","daytrip|1night","海|街歩き|自然"
"kasaoka","笠岡","岡山県","笠岡市","中国","destination","city","okayama-o","kasaoka","笠岡駅","笠岡駅","1.2","daytrip|1night","海|自然|歴史"
"tsunoshima","角島","山口県","下関市","中国","destination","sight","hiroshima-t","tsunoshima","特牛駅","角島大橋","1.2","1night","海|自然|秘境"
"dogo-onsen","道後温泉","愛媛県","松山市","四国","destination","onsen","matsuyama","dogo-onsen","松山駅","道後温泉駅","1.2","daytrip|1night","温泉|歴史|街歩き"
"marugame","丸亀","香川県","丸亀市","四国","destination","city","takamatsu","marugame","丸亀駅","丸亀駅","1.2","daytrip|1night","城|歴史|グルメ|海"
"misaki-sadamisaki","三崎（佐田岬）","愛媛県","西宇和郡伊方町","四国","destination","sight","matsuyama","misaki-sadamisaki","八幡浜駅","三崎港","1.2","1night","自然|海|秘境"
"yanagawa","柳川","福岡県","柳川市","九州","destination","city","fukuoka-t","yanagawa","西鉄福岡駅","西鉄柳川駅","1.2","daytrip|1night","街歩き|グルメ|自然|歴史"
"hyuga","日向","宮崎県","日向市","九州","destination","sight","miyazaki","hyuga","日向市駅","宮崎空港","1.2","daytrip|1night","海|寺社|自然"
"koshikijima","甑島","鹿児島県","薩摩川内市","九州","destination","island","kagoshima","koshikijima","川内駅","川内港","1.5","1night|2night","離島|海|自然|秘境"
"kirishima","霧島","鹿児島県","霧島市","九州","destination","onsen","kagoshima","kirishima","霧島神宮駅","鹿児島空港","1.2","1night|2night","温泉|山|寺社|自然"
"ebino-kogen","えびの高原","宮崎県","えびの市","九州","destination","sight","kagoshima","ebino-kogen","えびの駅","えびの高原バス停","1.2","1night","山|自然|秘境"
"onna","恩納村","沖縄県","国頭郡恩納村","沖縄","destination","sight","naha","onna","那覇バスターミナル","那覇空港","1.2","1night|2night","海|自然|離島"
"nago","名護","沖縄県","名護市","沖縄","destination","city","naha","nago","那覇バスターミナル","那覇空港","1.2","1night|2night","海|自然|街歩き"
"yomitanson","読谷村","沖縄県","中頭郡読谷村","沖縄","destination","city","naha","yomitanson","那覇バスターミナル","那覇空港","1.2","1night|2night","海|歴史|街歩き|自然"
"niseko","ニセコ","北海道","倶知安町","北海道","destination","sight","sapporo-t","niseko","倶知安駅","倶知安駅","1.3","1night|2night","スキー|山|温泉|自然"
"daisetsuzan","大雪山","北海道","東川町","北海道","destination","sight","asahikawa","daisetsuzan","旭川駅","旭岳温泉","1.3","1night|2night","山|自然|登山|紅葉"
"shiraoi","白老","北海道","白老町","北海道","destination","city","sapporo-t","shiraoi","白老駅","白老駅","1.2","daytrip|1night","文化|歴史|自然"
"tomamu","トマム","北海道","占冠村","北海道","destination","sight","sapporo-t","tomamu","トマム駅","トマム駅","1.3","1night|2night","スキー|山|自然|リゾート"
"towada","十和田","青森県","十和田市","東北","destination","sight","morioka","towada","八戸駅","十和田湖","1.2","1night","湖|自然|紅葉"
"osorezan","恐山","青森県","むつ市","東北","destination","sight","morioka","osorezan","下北駅","恐山","1.2","1night","霊場|自然|精神"
"urabandai","裏磐梯","福島県","北塩原村","東北","destination","sight","sendai-t","urabandai","猪苗代駅","五色沼入口","1.2","1night|2night","湖|自然|紅葉|山"
"minami-sanriku","南三陸","宮城県","南三陸町","東北","destination","city","sendai-t","minami-sanriku","気仙沼駅","南三陸","1.2","1night","海|食|復興|自然"
"kitakami","北上","岩手県","北上市","東北","destination","city","morioka","kitakami","北上駅","北上駅","1.2","daytrip|1night","桜|自然|川|文化"
"kinugawa-onsen","鬼怒川温泉","栃木県","日光市","関東","destination","onsen","tokyo-o","kinugawa-onsen","鬼怒川温泉駅","鬼怒川温泉駅","1.2","1night|2night","温泉|山|川|歴史"
"oze","尾瀬","群馬県","片品村","関東","destination","sight","tokyo-o","oze","沼田駅","鳩待峠","1.3","1night|2night","自然|湿原|山|植物"
"tsukuba","筑波","茨城県","つくば市","関東","destination","sight","tokyo-o","tsukuba","つくば駅","つくば駅","1.2","daytrip|1night","山|自然|文化"
"kasama","笠間","茨城県","笠間市","関東","destination","city","mito","kasama","笠間駅","笠間駅","1.2","daytrip|1night","陶芸|寺社|文化|食"
"naritasan","成田","千葉県","成田市","関東","destination","city","tokyo-o","naritasan","成田駅","成田駅","1.2","daytrip|1night","寺社|食|歴史|街歩き"
"kujukuri","九十九里","千葉県","九十九里町","関東","destination","sight","tokyo-o","kujukuri","東金駅","九十九里海岸","1.2","daytrip|1night","海|自然|食"
"miura","三浦","神奈川県","三浦市","関東","destination","city","yokohama","miura","三崎口駅","三崎口駅","1.2","daytrip|1night","海|食|自然"
"oku-tama","奥多摩","東京都","奥多摩町","関東","destination","sight","tokyo-o","oku-tama","奥多摩駅","奥多摩駅","1.2","daytrip|1night","山|自然|川|温泉"
"jigokudani","地獄谷野猿公苑","長野県","山ノ内町","中部","destination","sight","matsumoto-n","jigokudani","湯田中駅","湯田中駅","1.2","1night","自然|温泉|野生動物"
"tateshina","蓼科","長野県","茅野市","中部","destination","sight","matsumoto-n","tateshina","茅野駅","蓼科","1.2","1night|2night","山|自然|温泉|リゾート"
"echigo-yuzawa","越後湯沢","新潟県","湯沢町","中部","destination","onsen","niigata","echigo-yuzawa","越後湯沢駅","越後湯沢駅","1.2","1night|2night","温泉|スキー|雪|文化"
"fujinomiya","富士宮","静岡県","富士宮市","中部","destination","sight","shizuoka","fujinomiya","富士宮駅","富士宮駅","1.2","daytrip|1night","山|寺社|食|文化"
"norikura","乗鞍","長野県","松本市","中部","destination","sight","matsumoto-n","norikura","松本駅","畳平","1.3","daytrip|1night","山|自然|高山|登山"
"tokoname","常滑","愛知県","常滑市","中部","destination","city","nagoya-t","tokoname","常滑駅","常滑駅","1.2","daytrip","陶芸|文化|街歩き"
"korankei","香嵐渓","愛知県","豊田市","中部","destination","sight","nagoya-t","korankei","豊田市駅","香嵐渓","1.2","daytrip|1night","紅葉|自然|川"
"minamichita","南知多","愛知県","南知多町","中部","destination","city","nagoya-t","minamichita","内海駅","内海駅","1.2","daytrip|1night","海|食|自然"
"arashiyama","嵐山","京都府","京都市","近畿","destination","city","kyoto-t","arashiyama","嵐山駅","嵐山駅","1.2","daytrip|1night","竹林|寺社|自然|街歩き"
"shigaraki","信楽","滋賀県","甲賀市","近畿","destination","city","kyoto-t","shigaraki","信楽駅","信楽駅","1.2","daytrip|1night","陶芸|文化|街歩き"
"dorogawa-onsen","洞川温泉","奈良県","天川村","近畿","destination","onsen","osaka-t","dorogawa-onsen","下市口駅","洞川温泉","1.2","1night","温泉|山|精神|歴史"
"matsusaka","松阪","三重県","松阪市","近畿","destination","city","nagoya-t","matsusaka","松阪駅","松阪駅","1.2","daytrip|1night","食|歴史|城|街歩き"
"sakai","堺","大阪府","堺市","近畿","destination","city","osaka-t","sakai","堺東駅","堺東駅","1.2","daytrip","歴史|世界遺産|文化|街歩き"
"ama-island","海士町","島根県","海士町","中国","destination","island","matsue","ama-island","七類港","菱浦港","1.5","1night|2night","離島|海|自然|食"
"akiyoshidai","秋吉台","山口県","美祢市","中国","destination","sight","hiroshima-t","akiyoshidai","新山口駅","秋吉台","1.2","daytrip|1night","自然|洞窟|高原"
"yanai","柳井","山口県","柳井市","中国","destination","city","hiroshima-t","yanai","柳井駅","柳井駅","1.2","daytrip","街歩き|歴史|文化"
"oki-island","隠岐の島","島根県","隠岐の島町","中国","destination","island","matsue","oki-island","境港","西郷港","1.5","1night|2night","離島|海|自然|歴史"
"inujima","犬島","岡山県","岡山市","中国","destination","island","okayama-o","inujima","宝伝港","犬島港","1.5","daytrip|1night","離島|海|アート|歴史"
"teshima","豊島","香川県","土庄町","四国","destination","island","takamatsu","teshima","高松港","家浦港","1.5","daytrip|1night","離島|海|アート|自然"
"niyodogawa","仁淀川","高知県","仁淀川町","四国","destination","sight","kochi","niyodogawa","高知駅","仁淀川","1.3","daytrip|1night","川|自然|秘境"
"yusuhara","梼原","高知県","梼原町","四国","destination","city","kochi","yusuhara","須崎駅","梼原","1.2","1night","建築|自然|秘境|山"
"anan","阿南","徳島県","阿南市","四国","destination","sight","tokushima","anan","阿南駅","阿南駅","1.2","daytrip|1night","海|自然|野生動物"
"shikoku-karst","四国カルスト","愛媛県","久万高原町","四国","destination","sight","matsuyama","shikoku-karst","松山駅","四国カルスト","1.3","daytrip|1night","高原|自然|山"
"aoshima","青島","宮崎県","宮崎市","九州","destination","sight","miyazaki","aoshima","青島駅","青島駅","1.2","daytrip|1night","海|自然|寺社"
"yamaga","山鹿","熊本県","山鹿市","九州","destination","onsen","kumamoto","yamaga","玉名駅","山鹿温泉","1.2","1night","温泉|祭り|文化|歴史"
"yoshinogari","吉野ヶ里","佐賀県","吉野ヶ里町","九州","destination","city","fukuoka-t","yoshinogari","吉野ヶ里公園駅","吉野ヶ里公園駅","1.2","daytrip","歴史|遺跡|文化"
"kunisaki","国東","大分県","国東市","九州","destination","sight","fukuoka-t","kunisaki","宇佐駅","国東","1.2","1night|2night","歴史|寺社|山|文化"
"chiran","知覧","鹿児島県","南九州市","九州","destination","city","kagoshima","chiran","鹿児島中央駅","知覧","1.2","daytrip","歴史|武家屋敷|文化|平和"
"ojika-island","小値賀島","長崎県","小値賀町","九州","destination","island","nagasaki","ojika-island","佐世保港","小値賀港","1.5","1night|2night","離島|海|自然|スロー"
"irabu-island","伊良部島","沖縄県","宮古島市","沖縄","destination","island","naha","irabu-island","宮古空港","伊良部島","1.5","1night|2night","離島|海|自然|ダイビング"
"aguni-island","粟国島","沖縄県","粟国村","沖縄","destination","island","naha","aguni-island","泊港","粟国港","1.5","1night|2night","離島|海|自然|秘境"
"itoman","糸満","沖縄県","糸満市","沖縄","destination","city","naha","itoman","那覇バスターミナル","糸満","1.2","daytrip|1night","歴史|平和|海|文化"
"kijoka","喜如嘉","沖縄県","大宜味村","沖縄","destination","city","naha","kijoka","那覇バスターミナル","喜如嘉","1.2","daytrip|1night","文化|自然|工芸|長寿"
"miyakejima","三宅島","東京都","三宅村","伊豆諸島","destination","island","tokyo-o","miyakejima","竹芝桟橋","三宅島港","1.5","1night|2night","離島|海|自然|野鳥"
"hachijojima","八丈島","東京都","八丈島町","伊豆諸島","destination","island","tokyo-o","hachijojima","羽田空港","八丈島空港","1.5","1night|2night","離島|海|自然|温泉"
"niijima","新島","東京都","新島村","伊豆諸島","destination","island","tokyo-o","niijima","竹芝桟橋","新島港","1.5","1night|2night","離島|海|自然|サーフィン"
"shikinejima","式根島","東京都","新島村","伊豆諸島","destination","island","tokyo-o","shikinejima","竹芝桟橋","式根島港","1.5","1night|2night","離島|海|温泉|自然"