id,name,prefecture,city,rakutenKeyword,jalanCode,destinations
"abashiri","網走","北海道","網走市","北海道 網走市","","""網走"""
"ainan","愛南","愛媛県","愛媛愛南","愛媛県 愛媛愛南","","""愛南"""
"aizu","会津若松","福島県","","福島県 福島会津若松","070020","""会津若松"""
"akan","阿寒湖","北海道","釧路市","北海道 釧路市","","""阿寒湖"""
"akita","秋田","秋田県","","秋田県 秋田市","050020","""秋田"""
"ako","赤穂","兵庫県","赤穂市","兵庫県 赤穂市","","""赤穂"""
"amakusa","天草","熊本県","","熊本県 天草市","430040","""天草"""
"amami","奄美大島","鹿児島県","","鹿児島県 奄美市","460020","""奄美大島"""
"amanohashidate","天橋立","京都府","","京都府 宮津市","260030","""天橋立"""
"arima-onsen","有馬温泉","兵庫県","","兵庫県 神戸市","280010","""有馬温泉"""
"asahikawa","旭川","北海道","","北海道 旭川市","010060","""旭川"""
"ashikaga","足利","栃木県","足利市","栃木県 足利市","","""足利"""
"ashizuri","足摺岬","高知県","","高知県 土佐清水市","390020","""足摺岬"""
"aso","阿蘇","熊本県","","熊本県 阿蘇市","430020","""阿蘇"""
"asuka","飛鳥","奈良県","明日香村","奈良県 明日香村","","""飛鳥"""
"atami","熱海","静岡県","","静岡県 熱海市","220010","""熱海"""
"awaji","淡路島","兵庫県","","兵庫県 兵庫淡路島","280070","""淡路島"""
"beppu","別府","大分県","","大分県 別府市","440030","""別府"""
"bessho-onsen","別所温泉","長野県","上田市","長野県 上田市","","""別所温泉"""
"biei","美瑛","北海道","","北海道 美瑛町","010370","""美瑛"""
"bungo-takada","豊後高田","大分県","豊後高田市","大分県 豊後高田市","","""豊後高田"""
"chichibu","秩父","埼玉県","秩父市","埼玉県 秩父市","","""秩父"""
"choshi","銚子","千葉県","銚子市","千葉県 銚子市","","""銚子"""
"daisen","大山","鳥取県","大山町","鳥取県 大山町","","""大山"""
"dewa-sanzan","出羽三山","山形県","鶴岡市","山形県 鶴岡市","","""出羽三山"""
"dogo-onsen","道後温泉","愛媛県","松山市","愛媛県 松山市","","""道後温泉"""
"ebino-kogen","えびの高原","宮崎県","えびの市","宮崎県 えびの市","","""えびの高原"""
"echizen","越前市","福井県","越前市","福井県 越前市","","""越前市"""
"echizen-kaigan","越前海岸","福井県","越前市","福井県 越前市","","""越前海岸"""
"eiheiji","永平寺","福井県","永平寺町","福井県 永平寺町","","""永平寺"""
"enoshima","江の島","神奈川県","藤沢市","神奈川県 藤沢市","","""江の島"""
"esashi","江差","北海道","江差町","北海道 江差町","","""江差"""
"fujikawaguchiko","富士河口湖","山梨県","","山梨県 山梨富士河口湖","190010","""富士河口湖"""
"fukuoka","博多","福岡県","","福岡県 福岡市","400010","""博多"""
"furano","富良野","北海道","","北海道 富良野市","010170","""富良野"""
"fushimi","伏見","京都府","京都市","京都府 京都市","","""伏見"""
"gero-onsen","下呂温泉","岐阜県","下呂市","岐阜県 下呂市","","""下呂温泉"""
"gifu","岐阜","岐阜県","","岐阜県 岐阜市","210010","""岐阜"""
"ginzan-onsen","銀山温泉","山形県","尾花沢市","山形県 尾花沢市","","""銀山温泉"""
"gokayama","五箇山","富山県","","富山県 南砺市","160020","""五箇山"""
"goshogawara","五所川原","青森県","五所川原市","青森県 五所川原市","","""五所川原"""
"goto","五島列島","長崎県","","長崎県 五島市","420060","""五島列島"""
"gujo-hachiman","郡上八幡","岐阜県","郡上市","岐阜県 郡上市","","""郡上八幡"""
"hachimantai","八幡平","岩手県","八幡平市","岩手県 八幡平市","","""八幡平"""
"hagi","萩","山口県","","山口県 萩市","350020","""萩"""
"hakodate","函館","北海道","","北海道 函館市","010050","""函館"""
"hakone","箱根","神奈川県","","神奈川県 箱根町","140060","""箱根"""
"hakuba","白馬","長野県","","長野県 白馬村","200020","""白馬"""
"hanamaki","花巻","岩手県","花巻市","岩手県 花巻市","","""花巻"""
"hasami","波佐見","長崎県","波佐見町","長崎県 波佐見町","","""波佐見"""
"hida-furukawa","飛騨古川","岐阜県","飛騨市","岐阜県 飛騨市","","""飛騨古川"""
"hikone","彦根","滋賀県","彦根市","滋賀県 彦根市","","""彦根"""
"himeji","姫路","兵庫県","","兵庫県 姫路市","280050","""姫路"""
"himi","氷見","富山県","","富山県 氷見市","160010","""氷見"""
"hirado","平戸","長崎県","","長崎県 平戸市","420040","""平戸"""
"hiraizumi","平泉","岩手県","","岩手県 平泉町","030020","""平泉"""
"hirosaki","弘前","青森県","弘前市","青森県 弘前市","","""弘前"""
"hiroshima","広島","広島県","","広島県 広島市","340010","""広島"""
"hita","日田","大分県","日田市","大分県 日田市","","""日田"""
"hitoyoshi","人吉","熊本県","人吉市","熊本県 人吉市","","""人吉"""
"hyuga","日向","宮崎県","日向市","宮崎県 日向市","","""日向"""
"ibusuki","指宿","鹿児島県","","鹿児島県 指宿市","460010","""指宿"""
"ie-island","伊江島","沖縄県","国頭郡伊江村","沖縄県 国頭郡伊江村","","""伊江島"""
"iga","伊賀","三重県","三重伊賀","三重県 三重伊賀","","""伊賀"""
"iiyama","飯山","長野県","飯山市","長野県 飯山市","","""飯山"""
"ikaho","伊香保温泉","群馬県","渋川市","群馬県 渋川市","","""伊香保温泉"""
"iki-island","壱岐","長崎県","長崎壱岐","長崎県 長崎壱岐","","""壱岐"""
"imabari","今治","愛媛県","今治市","愛媛県 今治市","","""今治"""
"ine","伊根","京都府","","京都府 伊根町","260040","""伊根"""
"inuyama","犬山","愛知県","","愛知県 犬山市","230040","""犬山"""
"iriomote","西表島","沖縄県","竹富町","沖縄県 竹富町","","""西表島"""
"ise","伊勢","三重県","","三重県 伊勢市","240020","""伊勢"""
"ishigaki","石垣島","沖縄県","","沖縄県 石垣市","470030","""石垣島"""
"ito","伊東","静岡県","伊東市","静岡県 伊東市","","""伊東"""
"itoigawa","糸魚川","新潟県","糸魚川市","新潟県 糸魚川市","","""糸魚川"""
"itoshima","糸島","福岡県","糸島市","福岡県 糸島市","","""糸島"""
"iwakuni","岩国","山口県","岩国市","山口県 岩国市","","""岩国"""
"iwami-ginzan","石見銀山","島根県","大田市","島根県 大田市","","""石見銀山"""
"iya","祖谷","徳島県","三好市","徳島県 三好市","","""祖谷"""
"izu-kogen","伊豆高原","静岡県","伊東市","静岡県 伊東市","","""伊豆高原"""
"izu-oshima","伊豆大島","東京都","","東京都 大島町","130100","""伊豆大島"""
"izumo","出雲","島根県","出雲市","島根県 出雲市","","""出雲"""
"izushi","出石","兵庫県","豊岡市","兵庫県 豊岡市","","""出石"""
"jozankei","定山渓","北海道","","北海道 札幌市","010220","""定山渓"""
"kaga-onsen","加賀温泉郷","石川県","","石川県 加賀市","170020","""加賀温泉郷"""
"kagoshima","鹿児島","鹿児島県","","鹿児島県 鹿児島市","460010","""鹿児島"""
"kakunodate","角館","秋田県","","秋田県 仙北市","050010","""角館"""
"kamaishi","釜石","岩手県","釜石市","岩手県 釜石市","","""釜石"""
"kamakura","鎌倉","神奈川県","","神奈川県 鎌倉市","140050","""鎌倉"""
"kamikochi","上高地","長野県","松本市","長野県 松本市","","""上高地"""
"kanazawa","金沢","石川県","","石川県 金沢市","170010","""金沢"""
"karuizawa","軽井沢","長野県","軽井沢町","長野県 軽井沢町","","""軽井沢"""
"kasaoka","笠岡","岡山県","笠岡市","岡山県 笠岡市","","""笠岡"""
"kashihara","橿原","奈良県","橿原市","奈良県 橿原市","","""橿原"""
"kashiwajima","柏島","高知県","大月町","高知県 大月町","","""柏島"""
"kawagoe","川越","埼玉県","川越市","埼玉県 川越市","","""川越"""
"kesennuma","気仙沼","宮城県","気仙沼市","宮城県 気仙沼市","","""気仙沼"""
"kikuchi","菊池","熊本県","菊池市","熊本県 菊池市","","""菊池"""
"kinosaki-onsen","城崎温泉","兵庫県","","兵庫県 豊岡市","280060","""城崎温泉"""
"kirishima","霧島","鹿児島県","霧島市","鹿児島県 霧島市","","""霧島"""
"kiso","木曽","長野県","","長野県 木曽町","200060","""木曽"""
"kitsuki","杵築","大分県","杵築市","大分県 杵築市","","""杵築"""
"kiyosato","清里","山梨県","北杜市","山梨県 北杜市","","""清里"""
"kobe","神戸","兵庫県","","兵庫県 神戸市","280010","""神戸"""
"kochi","高知","高知県","","高知県 高知市","390010","""高知"""
"kofu","甲府","山梨県","甲府市","山梨県 甲府市","","""甲府"""
"kohama-island","小浜島","沖縄県","八重山郡竹富町","沖縄県 八重山郡竹富町","","""小浜島"""
"koshikijima","甑島","鹿児島県","薩摩川内市","鹿児島県 薩摩川内市","","""甑島"""
"kotohira","琴平","香川県","","香川県 琴平町","370030","""琴平"""
"kouzushima","神津島","東京都","","東京都 神津島村","130120","""神津島"""
"koyasan","高野山","和歌山県","高野町","和歌山県 高野町","","""高野山"""
"kuji","久慈","岩手県","久慈市","岩手県 久慈市","","""久慈"""
"kumamoto","熊本","熊本県","","熊本県 熊本市","430010","""熊本"""
"kumano","熊野","三重県","熊野市","三重県 熊野市","","""熊野"""
"kumano-hongu","熊野本宮","和歌山県","田辺市","和歌山県 田辺市","","""熊野本宮"""
"kumejima","久米島","沖縄県","","沖縄県 久米島町","470060","""久米島"""
"kurashiki","倉敷","岡山県","","岡山県 岡山倉敷","330020","""倉敷"""
"kurayoshi","倉吉","鳥取県","倉吉市","鳥取県 倉吉市","","""倉吉"""
"kurokawa","黒川温泉","熊本県","","熊本県 熊本黒川温泉","430060","""黒川温泉"""
"kusatsu-onsen","草津温泉","群馬県","","群馬県 草津町","100050","""草津温泉"""
"kushiro","釧路","北海道","","北海道 釧路市","010110","""釧路"""
"kyoto","京都","京都府","","京都府 京都市","260010","""京都"""
"magome","馬籠","岐阜県","中津川市","岐阜県 中津川市","","""馬籠"""
"maizuru","舞鶴","京都府","舞鶴市","京都府 舞鶴市","","""舞鶴"""
"marugame","丸亀","香川県","丸亀市","香川県 丸亀市","","""丸亀"""
"mashiko","益子","栃木県","益子町","栃木県 益子町","","""益子"""
"matsumoto","松本","長野県","","長野県 松本市","200010","""松本"""
"matsushima","松島","宮城県","","宮城県 松島町","040030","""松島"""
"matsushiro","松代","長野県","長野市","長野県 長野市","","""松代"""
"matsuyama","松山","愛媛県","","愛媛県 松山市","380010","""松山"""
"mihonoseki","美保関","島根県","松江市","島根県 松江市","","""美保関"""
"minakami-onsen","水上温泉","群馬県","みなかみ町","群馬県 みなかみ町","","""水上温泉"""
"minami-aso","南阿蘇","熊本県","南阿蘇村","熊本県 南阿蘇村","","""南阿蘇"""
"minami-izu","南伊豆","静岡県","南伊豆町","静岡県 南伊豆町","","""南伊豆"""
"misaki-sadamisaki","三崎（佐田岬）","愛媛県","西宇和郡伊方町","愛媛県 西宇和郡伊方町","","""三崎（佐田岬）"""
"misasa-onsen","三朝温泉","鳥取県","三朝町","鳥取県 三朝町","","""三朝温泉"""
"miyajima","宮島","広島県","","広島県 廿日市市","340060","""宮島"""
"miyako-iwate","宮古","岩手県","","岩手県 宮古市","030050","""宮古"""
"miyakojima","宮古島","沖縄県","","沖縄県 宮古島市","470040","""宮古島"""
"miyama","美山","京都府","","京都府 南丹市","260050","""美山"""
"miyazaki","宮崎","宮崎県","","宮崎県 宮崎市","450010","""宮崎"""
"mojiko","門司港","福岡県","北九州市門司区","福岡県 北九州市門司区","","""門司港"""
"morioka","盛岡","岩手県","","岩手県 盛岡市","030010","""盛岡"""
"motobu","本部","沖縄県","本部町","沖縄県 本部町","","""本部"""
"murakami","村上","新潟県","村上市","新潟県 村上市","","""村上"""
"muroto","室戸","高知県","室戸市","高知県 室戸市","","""室戸"""
"myoko-kogen","妙高高原","新潟県","妙高市","新潟県 妙高市","","""妙高高原"""
"nachikatsuura","那智勝浦","和歌山県","東牟婁郡那智勝浦町","和歌山県 東牟婁郡那智勝浦町","","""那智勝浦"""
"nagahama","長浜","滋賀県","長浜市","滋賀県 長浜市","","""長浜"""
"nagaoka","長岡","新潟県","長岡市","新潟県 長岡市","","""長岡"""
"nagasaki","長崎","長崎県","","長崎県 長崎市","420010","""長崎"""
"nago","名護","沖縄県","名護市","沖縄県 名護市","","""名護"""
"nagoya","名古屋","愛知県","","愛知県 名古屋市","230010","""名古屋"""
"naha","那覇","沖縄県","","沖縄県 那覇市","470010","""那覇"""
"nakijin","今帰仁","沖縄県","今帰仁村","沖縄県 今帰仁村","","""今帰仁"""
"naoshima","直島","香川県","","香川県 直島町","370020","""直島"""
"nara","奈良","奈良県","","奈良県 奈良市","290010","""奈良"""
"narai-juku","奈良井宿","長野県","塩尻市","長野県 塩尻市","","""奈良井宿"""
"naruko-onsen","鳴子温泉","宮城県","大崎市","宮城県 大崎市","","""鳴子温泉"""
"nasu","那須","栃木県","那須町","栃木県 那須町","","""那須"""
"nichinan","日南","宮崎県","日南市","宮崎県 日南市","","""日南"""
"niigata","新潟","新潟県","","新潟県 新潟市","150010","""新潟"""
"nikko","日光","栃木県","","栃木県 日光市","090020","""日光"""
"nobeoka","延岡","宮崎県","延岡市","宮崎県 延岡市","","""延岡"""
"noboribetsu","登別","北海道","","北海道 登別市","010130","""登別"""
"nozawa-onsen","野沢温泉","長野県","下高井郡野沢温泉村","長野県 下高井郡野沢温泉村","","""野沢温泉"""
"nyuto-onsen","乳頭温泉","秋田県","仙北市","秋田県 仙北市","","""乳頭温泉"""
"oarai","大洗","茨城県","東茨城郡大洗町","茨城県 東茨城郡大洗町","","""大洗"""
"obi","飫肥","宮崎県","日南市","宮崎県 日南市","","""飫肥"""
"obihiro","帯広","北海道","帯広市","北海道 帯広市","","""帯広"""
"oboke","大歩危","徳島県","","徳島県 三好市","360030","""大歩危"""
"obuse","小布施","長野県","小布施町","長野県 小布施町","","""小布施"""
"ofunato","大船渡","岩手県","大船渡市","岩手県 大船渡市","","""大船渡"""
"oga","男鹿","秋田県","男鹿市","秋田県 男鹿市","","""男鹿"""
"ogaki","大垣","岐阜県","大垣市","岐阜県 大垣市","","""大垣"""
"oirase","奥入瀬","青森県","十和田市","青森県 十和田市","","""奥入瀬"""
"okayama","岡山","岡山県","","岡山県 岡山市","330010","""岡山"""
"oku-izumo","奥出雲","島根県","仁多郡奥出雲町","島根県 仁多郡奥出雲町","","""奥出雲"""
"okuhida-onsen","奥飛騨温泉郷","岐阜県","高山市","岐阜県 高山市","","""奥飛騨温泉郷"""
"onna","恩納村","沖縄県","国頭郡恩納村","沖縄県 国頭郡恩納村","","""恩納村"""
"onomichi","尾道","広島県","","広島県 尾道市","340020","""尾道"""
"osaka","大阪","大阪府","","大阪府 大阪市","270010","""大阪"""
"otaru","小樽","北海道","","北海道 小樽市","010140","""小樽"""
"ouchi-juku","大内宿","福島県","南会津郡下郷町","福島県 南会津郡下郷町","","""大内宿"""
"ozu","大洲","愛媛県","大洲市","愛媛県 大洲市","","""大洲"""
"rausu","羅臼","北海道","羅臼町","北海道 羅臼町","","""羅臼"""
"rebun-island","礼文島","北海道","礼文町","北海道 礼文町","","""礼文島"""
"rishiri-island","利尻島","北海道","利尻町","北海道 利尻町","","""利尻島"""
"ryujin-onsen","龍神温泉","和歌山県","田辺市","和歌山県 田辺市","","""龍神温泉"""
"sado-island","佐渡島","新潟県","佐渡市","新潟県 佐渡市","","""佐渡島"""
"saga","佐賀","佐賀県","","佐賀県 佐賀市","410010","""佐賀"""
"saijo","西条","愛媛県","西条市","愛媛県 西条市","","""西条"""
"sakaiminato","境港","鳥取県","境港市","鳥取県 境港市","","""境港"""
"sakata","酒田","山形県","","山形県 酒田市","060040","""酒田"""
"sakunami-onsen","秋保温泉","宮城県","仙台市","宮城県 仙台市","","""秋保温泉"""
"sano","佐野","栃木県","佐野市","栃木県 佐野市","","""佐野"""
"sapporo","札幌","北海道","","北海道 札幌市","010030","""札幌"""
"sasebo","佐世保","長崎県","","長崎県 佐世保市","420030","""佐世保"""
"sendai","仙台","宮城県","","宮城県 仙台市","040010","""仙台"""
"shakotan","積丹","北海道","積丹町","北海道 積丹町","","""積丹"""
"shijishima","志々島","香川県","三豊市","香川県 三豊市","","""志々島"""
"shikotsu","支笏湖","北海道","千歳市","北海道 千歳市","","""支笏湖"""
"shima","志摩","三重県","志摩市","三重県 志摩市","","""志摩"""
"shima-onsen","四万温泉","群馬県","吾妻郡中之条町","群馬県 吾妻郡中之条町","","""四万温泉"""
"shimabara","島原","長崎県","島原市","長崎県 島原市","","""島原"""
"shimanto","四万十","高知県","四万十市","高知県 四万十市","","""四万十|四万十町"""
"shimoda","下田","静岡県","","静岡県 下田市","220060","""下田"""
"shimonoseki","下関","山口県","","山口県 下関市","350010","""下関"""
"shiobara-onsen","塩原温泉","栃木県","那須塩原市","栃木県 那須塩原市","","""塩原温泉"""
"shirahama-o","白浜","和歌山県","","和歌山県 和歌山白浜","300020","""白浜"""
"shirakawago","白川郷","岐阜県","","岐阜県 岐阜白川郷","210070","""白川郷"""
"shiretoko","知床","北海道","","北海道 斜里町","010290","""知床"""
"shodoshima","小豆島","香川県","小豆島町","香川県 小豆島町","","""小豆島"""
"shuzenji","修善寺","静岡県","","静岡県 伊豆市","220020","""修善寺"""
"sounkyo","層雲峡","北海道","上川町","北海道 上川町","","""層雲峡"""
"suo-oshima","周防大島","山口県","大島郡周防大島町","山口県 大島郡周防大島町","","""周防大島"""
"suwa","諏訪","長野県","諏訪市","長野県 諏訪市","","""諏訪"""
"suzu","珠洲","石川県","珠洲市","石川県 珠洲市","","""珠洲"""
"takachiho","高千穂","宮崎県","","宮崎県 高千穂町","450030","""高千穂"""
"takahashi","高梁","岡山県","高梁市","岡山県 高梁市","","""高梁"""
"takao","高尾山","東京都","","東京都 東京高尾山","130030","""高尾山"""
"takayama","高山","岐阜県","","岐阜県 岐阜高山","210060","""高山"""
"takehara","竹原","広島県","竹原市","広島県 竹原市","","""竹原"""
"takeo-onsen","武雄温泉","佐賀県","武雄市","佐賀県 武雄市","","""武雄温泉"""
"taketa","竹田","大分県","竹田市","大分県 竹田市","","""竹田"""
"taketomi-island","竹富島","沖縄県","竹富町","沖縄県 竹富町","","""竹富島"""
"tanabe","田辺","和歌山県","田辺市","和歌山県 田辺市","","""田辺"""
"tanba-sasayama","丹波篠山","兵庫県","丹波篠山市","兵庫県 丹波篠山市","","""丹波篠山"""
"tanegashima","種子島","鹿児島県","西之表市","鹿児島県 西之表市","","""種子島"""
"tateyama-chiba","館山","千葉県","","千葉県 千葉館山","120110","""館山"""
"tateyama-kurobe","立山黒部","富山県","","富山県 立山町","160030","""立山黒部"""
"tazawako","田沢湖","秋田県","仙北市","秋田県 仙北市","","""田沢湖"""
"tenryu-gorge","天竜峡","長野県","飯田市","長野県 飯田市","","""天竜峡"""
"toba","鳥羽","三重県","","三重県 鳥羽市","240040","""鳥羽"""
"tokashiki-jima","渡嘉敷島","沖縄県","渡嘉敷村","沖縄県 渡嘉敷村","","""渡嘉敷島"""
"tokushima","徳島","徳島県","","徳島県 徳島市","360010","""徳島"""
"tokyo","東京","東京都","","東京都 東京都区部","130010","""東京"""
"tomonoura","鞆の浦","広島県","福山市","広島県 福山市","","""鞆の浦"""
"tono","遠野","岩手県","遠野市","岩手県 遠野市","","""遠野"""
"tosa-shimizu","土佐清水","高知県","土佐清水市","高知県 土佐清水市","","""土佐清水"""
"totsukawa","十津川","奈良県","十津川村","奈良県 十津川村","","""十津川"""
"tottori","鳥取","鳥取県","","鳥取県 鳥取市","310010","""鳥取"""
"toyako","洞爺湖","北海道","","北海道 洞爺湖町","010140","""洞爺湖"""
"tsumago","妻籠","長野県","木曽町","長野県 木曽町","","""妻籠"""
"tsunoshima","角島","山口県","下関市","山口県 下関市","","""角島"""
"tsuruga","敦賀","福井県","敦賀市","福井県 敦賀市","","""敦賀"""
"tsurugi-san","剣山","徳島県","徳島剣山","徳島県 徳島剣山","","""剣山"""
"tsushima","対馬","長崎県","対馬市","長崎県 対馬市","","""対馬"""
"tsuwano","津和野","島根県","","島根県 津和野町","320030","""津和野"""
"tsuyama","津山","岡山県","津山市","岡山県 津山市","","""津山"""
"uchiko","内子","愛媛県","内子町","愛媛県 内子町","","""内子"""
"unzen","雲仙","長崎県","","長崎県 雲仙市","420050","""雲仙"""
"ureshino-onsen","嬉野温泉","佐賀県","嬉野市","佐賀県 嬉野市","","""嬉野温泉"""
"ushimado","牛窓","岡山県","瀬戸内市","岡山県 瀬戸内市","","""牛窓"""
"usuki","臼杵","大分県","臼杵市","大分県 臼杵市","","""臼杵"""
"uwajima","宇和島","愛媛県","","愛媛県 宇和島市","380020","""宇和島"""
"wajima","輪島","石川県","","石川県 輪島市","170030","""輪島"""
"wakasa-obama","若狭小浜","福井県","小浜市","福井県 小浜市","","""若狭小浜"""
"wakayama","和歌山","和歌山県","","和歌山県 和歌山市","300010","""和歌山"""
"wakkanai","稚内","北海道","稚内市","北海道 稚内市","","""稚内"""
"wakura-onsen","和倉温泉","石川県","七尾市","石川県 七尾市","","""和倉温泉"""
"yakake","矢掛","岡山県","岡山矢掛","岡山県 岡山矢掛","","""矢掛"""
"yakushima","屋久島","鹿児島県","","鹿児島県 屋久島町","460040","""屋久島"""
"yamadera","山寺","山形県","山形市","山形県 山形市","","""山寺"""
"yamagata","山形","山形県","","山形県 山形市","060010","""山形"""
"yanagawa","柳川","福岡県","柳川市","福岡県 柳川市","","""柳川"""
"yokohama","横浜","神奈川県","","神奈川県 横浜市","140020","""横浜"""
"yomitanson","読谷村","沖縄県","中頭郡読谷村","沖縄県 中頭郡読谷村","","""読谷村"""
"yonaguni-island","与那国島","沖縄県","与那国町","沖縄県 与那国町","","""与那国島"""
"yonezawa","米沢","山形県","米沢市","山形県 米沢市","","""米沢"""
"yoshino","吉野","奈良県","吉野町","奈良県 吉野町","","""吉野"""
"yuda-onsen","湯田温泉","山口県","山口市","山口県 山口市","","""湯田温泉"""
"yufuin","湯布院","大分県","","大分県 由布市","440020","""湯布院"""
"yunotsu-onsen","温泉津","島根県","大田市","島根県 大田市","","""温泉津"""
"zamami-island","座間味島","沖縄県","座間味村","沖縄県 座間味村","","""座間味島"""
"zaosan","蔵王","山形県","","宮城県 宮城蔵王","060010","""蔵王"""